question_id,year,number,problem_id,subject,domain,topic,problem_difficulty,test_type,previous_years,country,problem_text,answers_text,choices_json,correct_answer,image_path,tex_path,raw_text,extra_json,solution_text,solution_image,mcq_frq,is_published
2025_44,2025,44,2025_44,math,Statistics and Probability,Measures of Central Tendency,,,,,"Find the mode of \(8,10,9,9,10,8,11,8,10,9,8,14\).",,"{""A"": ""\\(8\\)"", ""B"": ""\\(9\\)"", ""C"": ""\\(10\\)"", ""D"": ""\\(11\\)""}",A,,,"Find the mode of \(8,10,9,9,10,8,11,8,10,9,8,14\).",,"The mode is the value occurring most often. The number \(8\) appears four times, more than any other value.",,MCQ,false
2025_45,2025,45,2025_45,math,Geometry and Mensuration,Bearings,,,,,"The bearings of \(Q\) and \(R\) from \(P\) are \(030^\circ\) and \(120^\circ\). If \(|PQ|=12\text{ m}\) and \(|PR|=5\text{ m}\), find \(|QR|\).",,"{""A"": ""\\(11\\text{ m}\\)"", ""B"": ""\\(13\\text{ m}\\)"", ""C"": ""\\(9\\text{ m}\\)"", ""D"": ""\\(7\\text{ m}\\)""}",B,,,"The bearings of \(Q\) and \(R\) from \(P\) are \(030^\circ\) and \(120^\circ\). If \(|PQ|=12\text{ m}\) and \(|PR|=5\text{ m}\), find \(|QR|\).",,The included angle is \(120^\circ-30^\circ=90^\circ\). Thus \(QR=\sqrt{12^2+5^2}=13\text{ m}\).,,MCQ,false
2025_46,2025,46,2025_46,math,Trigonometry,Trigonometric Ratios,,,,,"Without using tables, evaluate \(\frac{\sin20^\circ}{\cos70^\circ}+\frac{\cos25^\circ}{\sin65^\circ}\).",,"{""A"": ""\\(2\\)"", ""B"": ""\\(0\\)"", ""C"": ""\\(1\\)"", ""D"": ""\\(-1\\)""}",A,,,"Without using tables, evaluate \(\frac{\sin20^\circ}{\cos70^\circ}+\frac{\cos25^\circ}{\sin65^\circ}\).",,"Since \(\sin20^\circ=\cos70^\circ\), the first fraction is \(1\). Since \(\cos25^\circ=\sin65^\circ\), the second fraction is also \(1\). Sum \(=2\).",,MCQ,false
2025_47,2025,47,2025_47,math,Statistics and Probability,Measures of Central Tendency,,,,,"The mean of \(20\) observations is \(4\). If the largest observation is \(23\), find the mean of the remaining observations.",,"{""A"": ""\\(4\\)"", ""B"": ""\\(2.60\\)"", ""C"": ""\\(2.85\\)"", ""D"": ""\\(3\\)""}",D,,,"The mean of \(20\) observations is \(4\). If the largest observation is \(23\), find the mean of the remaining observations.",,Total \(=20\times4=80\). Removing \(23\) leaves \(57\) for \(19\) observations. New mean \(=\frac{57}{19}=3\).,,MCQ,false
2025_48,2025,48,2025_48,math,Statistics and Probability,Probability,,,,,Two fair dice are tossed once. Find the probability that the sum is at least \(10\).,,"{""A"": ""\\(\\frac16\\)"", ""B"": ""\\(\\frac{1}{12}\\)"", ""C"": ""\\(\\frac14\\)"", ""D"": ""\\(\\frac{5}{36}\\)""}",A,,,Two fair dice are tossed once. Find the probability that the sum is at least \(10\).,,"Favourable ordered pairs are \((4,6),(5,5),(6,4),(5,6),(6,5),(6,6)\), so there are \(6\) outcomes out of \(36\). Probability \(=\frac{6}{36}=\frac16\).",,MCQ,false
2025_49,2025,49,2025_49,math,Statistics and Probability,Measures of Central Tendency,,,,,"Find the median of \(2.64,2.50,2.72,2.91,2.35\).",,"{""A"": ""\\(2.50\\)"", ""B"": ""\\(2.64\\)"", ""C"": ""\\(2.91\\)"", ""D"": ""\\(2.72\\)""}",B,,,"Find the median of \(2.64,2.50,2.72,2.91,2.35\).",,"In ascending order: \(2.35,2.50,2.64,2.72,2.91\). The middle value is \(2.64\).",,MCQ,false
2025_50,2025,50,2025_50,math,Statistics and Probability,Probability,,,,,"A box contains \(2\) red, \(6\) white, and \(5\) black balls. A ball is selected at random. What is the probability that it is black?",,"{""A"": ""\\(\\frac{5}{13}\\)"", ""B"": ""\\(\\frac{5}{11}\\)"", ""C"": ""\\(\\frac{2}{13}\\)"", ""D"": ""\\(\\frac56\\)""}",A,,,"A box contains \(2\) red, \(6\) white, and \(5\) black balls. A ball is selected at random. What is the probability that it is black?",,"There are \(2+6+5=13\) balls, and \(5\) are black. Therefore the probability is \(\frac{5}{13}\).",,MCQ,false
2025_51,2025,51,2025_51,math,Algebra,Factorisation and Sets,,,,,"PART ONE. (a) Factorize \(px-2qx-4qy+2py\). (b) Given \(U=\{1,2,3,4,5,6,7,8,9,10\}\), \(P=\{1,2,4,6,10\}\), and \(Q=\{2,3,6,9\}\), show that \((P\cup Q)^1=P^1\cap Q^1\).","(a) \((p-2q)(x+2y)\). (b) Both sides equal \(\{5,7,8\}\).",,"(a) \((p-2q)(x+2y)\). (b) Both sides equal \(\{5,7,8\}\).",,,"PART ONE. (a) Factorize \(px-2qx-4qy+2py\). (b) Given \(U=\{1,2,3,4,5,6,7,8,9,10\}\), \(P=\{1,2,4,6,10\}\), and \(Q=\{2,3,6,9\}\), show that \((P\cup Q)^1=P^1\cap Q^1\).",,"(a) Group terms: \(px-2qx-4qy+2py=x(p-2q)+2y(p-2q)=(p-2q)(x+2y)\). (b) \(P\cup Q=\{1,2,3,4,6,9,10\}\), so \((P\cup Q)^1=\{5,7,8\}\). Also \(P^1=\{3,5,7,8,9\}\) and \(Q^1=\{1,4,5,7,8,10\}\), so \(P^1\cap Q^1=\{5,7,8\}\).",,FRQ,false
2025_52,2025,52,2025_52,math,Algebra,Variation,,,,,"(a) \(y\) is partly constant and partly varies inversely as the square of \(x\). Write the relationship between \(x\) and \(y\). (b) When \(x=1\), \(y=11\), and when \(x=2\), \(y=5\). Find \(y\) when \(x=4\).",(a) \(y=a+\frac{b}{x^2}\). (b) \(y=\frac72\).,,(a) \(y=a+\frac{b}{x^2}\). (b) \(y=\frac72\).,,,"(a) \(y\) is partly constant and partly varies inversely as the square of \(x\). Write the relationship between \(x\) and \(y\). (b) When \(x=1\), \(y=11\), and when \(x=2\), \(y=5\). Find \(y\) when \(x=4\).",,"(a) \(y=a+\frac{b}{x^2}\), where \(a\) and \(b\) are constants. (b) From \(x=1\), \(a+b=11\). From \(x=2\), \(a+\frac{b}{4}=5\). Subtracting gives \(\frac{3b}{4}=6\), so \(b=8\), and \(a=3\). When \(x=4\), \(y=3+\frac{8}{16}=\frac72\).",,FRQ,false
2025_53,2025,53,2025_53,math,Geometry and Mensuration,Parallelograms and Latitude,,,,,"(a) In the diagram, \(PQSR\) and \(SRYZ\) are parallelograms, and \(PQYZ\) is a straight line. If \(|QY|=2\text{ cm}\) and \(|RS|=3\text{ cm}\), find \(|PZ|\). (b) Towns \(P\) and \(Q\) lie on latitude \(56^\circ N\), with longitudes \(25^\circ E\) and \(95^\circ E\). Find \(PQ\) along the parallel of latitude, correct to the nearest km. Take \(R=6400\text{ km}\) and \(\pi=\frac{22}{7}\).",(a) \(8\text{ cm}\). (b) \(4374\text{ km}\).,,(a) \(8\text{ cm}\). (b) \(4374\text{ km}\).,https://casohrqgydyyvcclqwqm.supabase.co/storage/v1/object/public/waec_math/2025_53.png,,"(a) In the diagram, \(PQSR\) and \(SRYZ\) are parallelograms, and \(PQYZ\) is a straight line. If \(|QY|=2\text{ cm}\) and \(|RS|=3\text{ cm}\), find \(|PZ|\). (b) Towns \(P\) and \(Q\) lie on latitude \(56^\circ N\), with longitudes \(25^\circ E\) and \(95^\circ E\). Find \(PQ\) along the parallel of latitude, correct to the nearest km. Take \(R=6400\text{ km}\) and \(\pi=\frac{22}{7}\).",,"(a) In parallelogram \(PQSR\), \(PQ=RS=3\text{ cm}\). In parallelogram \(SRYZ\), \(YZ=RS=3\text{ cm}\). Hence \(PZ=PQ+QY+YZ=3+2+3=8\text{ cm}\). (b) Difference in longitude \(=95^\circ-25^\circ=70^\circ\). Distance \(=\frac{70}{360}\times2\pi R\cos56^\circ\approx4374\text{ km}\).",,FRQ,false
2025_54,2025,54,2025_54,math,Statistics and Probability,Probability and Bearings,,,,,"(a) A pack of \(52\) cards is shuffled and one card is drawn. Find the probability that it is either a five or a red nine. (b) The bearing of \(Q\) from \(P\) is \(150^\circ\), and the bearing of \(R\) from \(Q\) is \(060^\circ\). If \(|PQ|=5\text{ m}\) and \(|QR|=3\text{ m}\), find the bearing of \(R\) from \(P\), correct to the nearest degree.",(a) \(\frac{3}{26}\). (b) \(119^\circ\).,,(a) \(\frac{3}{26}\). (b) \(119^\circ\).,,,"(a) A pack of \(52\) cards is shuffled and one card is drawn. Find the probability that it is either a five or a red nine. (b) The bearing of \(Q\) from \(P\) is \(150^\circ\), and the bearing of \(R\) from \(Q\) is \(060^\circ\). If \(|PQ|=5\text{ m}\) and \(|QR|=3\text{ m}\), find the bearing of \(R\) from \(P\), correct to the nearest degree.",,"(a) There are \(4\) fives and \(2\) red nines, so favourable cards \(=6\). Probability \(=\frac{6}{52}=\frac{3}{26}\). (b) Components from \(P\) to \(Q\): east \(=5\sin150^\circ=2.5\), north \(=5\cos150^\circ=-4.330\). Components from \(Q\) to \(R\): east \(=3\sin60^\circ=2.598\), north \(=3\cos60^\circ=1.5\). Thus from \(P\) to \(R\): east \(=5.098\), north \(=-2.830\). Bearing \(\approx119^\circ\).",,FRQ,false
2025_55,2025,55,2025_55,math,Statistics and Probability,Measures of Central Tendency,,,,,"The table shows marks scored by \(32\) students. Marks: \(1,2,3,4,5,6,7,8,9,10\). Frequencies: \(2,3,4,4,4,4,5,3,2,1\). (a)(i) Find the mean. (ii) Find the median. (iii) Find the mode. (b) Find the percentage who scored at least \(8\) marks.","Mean \(=5.22\), median \(=5\), mode \(=7\), percentage \(=18.75\%\).",,"Mean \(=5.22\), median \(=5\), mode \(=7\), percentage \(=18.75\%\).",,,"The table shows marks scored by \(32\) students. Marks: \(1,2,3,4,5,6,7,8,9,10\). Frequencies: \(2,3,4,4,4,4,5,3,2,1\). (a)(i) Find the mean. (ii) Find the median. (iii) Find the mode. (b) Find the percentage who scored at least \(8\) marks.",,"Total frequency \(=32\). \(\sum fx=167\), so mean \(=\frac{167}{32}=5.21875\approx5.22\). The \(16\)th and \(17\)th observations are both \(5\), so median \(=5\). The highest frequency is \(5\), at mark \(7\), so mode \(=7\). At least \(8\) marks: \(3+2+1=6\). Percentage \(=\frac{6}{32}\times100=18.75\%\).",,FRQ,false
2025_56,2025,56,2025_56,math,Number and Numeration,Logarithms and Trigonometry,,,,,"PART TWO. (a)(i) Using mathematical tables, find \(2\sin63.35^\circ\). (ii) Find \(\log(\cos44.74^\circ)\). (iii) Find \(k\) given that \(\log k-\log(k-2)=\log5\). (b) Use logarithm tables to evaluate \(\frac{3.68^2\times6.705}{\sqrt{0.3581}}\).",(a)(i) \(1.788\) approx. (ii) \(-0.1486\) approx. (iii) \(k=\frac52\). (b) \(151.7\) approx.,,(a)(i) \(1.788\) approx. (ii) \(-0.1486\) approx. (iii) \(k=\frac52\). (b) \(151.7\) approx.,,,"PART TWO. (a)(i) Using mathematical tables, find \(2\sin63.35^\circ\). (ii) Find \(\log(\cos44.74^\circ)\). (iii) Find \(k\) given that \(\log k-\log(k-2)=\log5\). (b) Use logarithm tables to evaluate \(\frac{3.68^2\times6.705}{\sqrt{0.3581}}\).",,"(a)(i) \(\sin63.35^\circ\approx0.8938\), so \(2\sin63.35^\circ\approx1.788\). (ii) \(\cos44.74^\circ\approx0.7103\), so \(\log(\cos44.74^\circ)\approx-0.1486\). (iii) \(\log\frac{k}{k-2}=\log5\), so \(\frac{k}{k-2}=5\). Hence \(k=5k-10\), \(4k=10\), and \(k=\frac52\). (b) \(\frac{3.68^2\times6.705}{\sqrt{0.3581}}\approx151.7\).",,FRQ,false
2025_57,2025,57,2025_57,math,Algebra,Formulae and Quadratics,,,,,"(a) Given \(p=x+ym^3\), find \(m\) in terms of \(p,x,y\). (b) By completing the square, find the roots of \(x^2-6x+7=0\) to \(1\) decimal place. (c) The product of two consecutive positive odd numbers is \(195\). Form and solve a quadratic equation to find the numbers.",(a) \(m=\sqrt[3]{\frac{p-x}{y}}\). (b) \(1.6\) and \(4.4\). (c) \(13\) and \(15\).,,(a) \(m=\sqrt[3]{\frac{p-x}{y}}\). (b) \(1.6\) and \(4.4\). (c) \(13\) and \(15\).,,,"(a) Given \(p=x+ym^3\), find \(m\) in terms of \(p,x,y\). (b) By completing the square, find the roots of \(x^2-6x+7=0\) to \(1\) decimal place. (c) The product of two consecutive positive odd numbers is \(195\). Form and solve a quadratic equation to find the numbers.",,"(a) \(p=x+ym^3\Rightarrow ym^3=p-x\), so \(m=\sqrt[3]{\frac{p-x}{y}}\). (b) \(x^2-6x+7=0\Rightarrow (x-3)^2-2=0\), so \(x=3\pm\sqrt2\approx1.6,4.4\). (c) Let the smaller odd number be \(n\). Then \(n(n+2)=195\), so \(n^2+2n-195=0=(n-13)(n+15)\). Hence the numbers are \(13\) and \(15\).",,FRQ,false
2025_58,2025,58,2025_58,math,Trigonometry,Graphs of Trigonometric Functions,,,,,"(a) Complete the table for \(y=2\cos2x-1\) for \(x=0^\circ,30^\circ,60^\circ,90^\circ,120^\circ,150^\circ,180^\circ\). (b) Draw the graph for \(0^\circ\le x\le180^\circ\). (c) On the same axes, draw \(y=\frac{1}{180}(x-360)\). (d) Use the graphs to find \(x\) for which \(2\cos2x+\frac12=0\).","Table: \(1,0,-2,-3,-2,0,1\). Intersections: \(x\approx52.2^\circ\) and \(127.8^\circ\).",,"Table: \(1,0,-2,-3,-2,0,1\). Intersections: \(x\approx52.2^\circ\) and \(127.8^\circ\).",,,"(a) Complete the table for \(y=2\cos2x-1\) for \(x=0^\circ,30^\circ,60^\circ,90^\circ,120^\circ,150^\circ,180^\circ\). (b) Draw the graph for \(0^\circ\le x\le180^\circ\). (c) On the same axes, draw \(y=\frac{1}{180}(x-360)\). (d) Use the graphs to find \(x\) for which \(2\cos2x+\frac12=0\).",,"Substitution gives \(y=1,0,-2,-3,-2,0,1\). For part (d), solve \(2\cos2x+\frac12=0\), so \(\cos2x=-\frac14\). In \(0^\circ\le x\le180^\circ\), \(2x\approx104.48^\circ\) or \(255.52^\circ\). Therefore \(x\approx52.2^\circ\) or \(127.8^\circ\).",,FRQ,false
2025_59,2025,59,2025_59,math,Geometry and Mensuration,Construction,,,,,"(a) Using ruler and compasses only, construct \(\triangle ABC\) with \(|AB|=7.5\text{ cm}\), \(|BC|=8.1\text{ cm}\), and \(\angle ABC=105^\circ\). (b) Locate \(D\) on \(BC\) such that \(|BD|:|DC|=3:2\). (c) Through \(D\), construct a line perpendicular to \(BC\). (d) If the line meets \(AC\) at \(P\), measure \(|BP|\).",\(|BP|\approx5.4\text{ cm}\).,,\(|BP|\approx5.4\text{ cm}\).,,,"(a) Using ruler and compasses only, construct \(\triangle ABC\) with \(|AB|=7.5\text{ cm}\), \(|BC|=8.1\text{ cm}\), and \(\angle ABC=105^\circ\). (b) Locate \(D\) on \(BC\) such that \(|BD|:|DC|=3:2\). (c) Through \(D\), construct a line perpendicular to \(BC\). (d) If the line meets \(AC\) at \(P\), measure \(|BP|\).",,"Draw \(BC=8.1\text{ cm}\). At \(B\), construct \(105^\circ\), mark \(A\) on the ray with \(AB=7.5\text{ cm}\), and join \(A\) to \(C\). Divide \(BC\) in the ratio \(3:2\): \(BD=\frac35\times8.1=4.86\text{ cm}\). Draw the perpendicular to \(BC\) through \(D\), meeting \(AC\) at \(P\). Measurement gives \(|BP|\approx5.4\text{ cm}\).",,FRQ,false
2025_60,2025,60,2025_60,math,Geometry and Mensuration,Bearings and Latitude,,,,,"(a)(i) A man travels from \(X\) on bearing \(060^\circ\) to \(Y\), \(20\text{ km}\) away. From \(Y\), he travels to \(Z\) on bearing \(195^\circ\). If \(Z\) is directly east of \(X\), find \(YZ\) to \(3\) s.f. (ii) Find \(ZX\) to \(3\) s.f. (b)(i) An aircraft flies due south from latitude \(36^\circ N\) to \(36^\circ S\) on the same longitude. Find the distance travelled to \(3\) s.f. (ii) If its speed is \(800\text{ km/h}\), find the time to the nearest hour. Take \(\pi=\frac{22}{7}\), \(R=6400\text{ km}\).",(a)(i) \(YZ=10.4\text{ km}\). (ii) \(ZX=14.6\text{ km}\). (b)(i) \(8.05\times10^3\text{ km}\). (ii) \(10\) hours.,,(a)(i) \(YZ=10.4\text{ km}\). (ii) \(ZX=14.6\text{ km}\). (b)(i) \(8.05\times10^3\text{ km}\). (ii) \(10\) hours.,,,"(a)(i) A man travels from \(X\) on bearing \(060^\circ\) to \(Y\), \(20\text{ km}\) away. From \(Y\), he travels to \(Z\) on bearing \(195^\circ\). If \(Z\) is directly east of \(X\), find \(YZ\) to \(3\) s.f. (ii) Find \(ZX\) to \(3\) s.f. (b)(i) An aircraft flies due south from latitude \(36^\circ N\) to \(36^\circ S\) on the same longitude. Find the distance travelled to \(3\) s.f. (ii) If its speed is \(800\text{ km/h}\), find the time to the nearest hour. Take \(\pi=\frac{22}{7}\), \(R=6400\text{ km}\).",,"(a) From \(X\) to \(Y\): north component \(=20\cos60^\circ=10\), east component \(=20\sin60^\circ=17.32\). Since \(Z\) is directly east of \(X\), \(10+YZ\cos195^\circ=0\), so \(YZ=\frac{-10}{\cos195^\circ}\approx10.4\text{ km}\). Easting of \(Z\) is \(17.32+10.35\sin195^\circ\approx14.6\text{ km}\), so \(ZX\approx14.6\text{ km}\). (b) Latitude difference \(=72^\circ\). Distance \(=\frac{72}{360}\times2\times\frac{22}{7}\times6400\approx8045.7\text{ km}=8.05\times10^3\text{ km}\). Time \(=8045.7/800\approx10\) hours.",,FRQ,false
2025_61,2025,61,2025_61,math,Statistics and Probability,Cumulative Frequency,,,,,"The table shows scores of \(2000\) candidates. Percentage marks: \(11-20,21-30,31-40,41-50,51-60,61-70,71-80,81-90\). Frequencies: \(68,184,294,402,480,310,164,98\). Prepare a cumulative frequency table and draw the cumulative frequency curve.","Cumulative frequencies: \(68,252,546,948,1428,1738,1902,2000\).",,"Cumulative frequencies: \(68,252,546,948,1428,1738,1902,2000\).",,,"The table shows scores of \(2000\) candidates. Percentage marks: \(11-20,21-30,31-40,41-50,51-60,61-70,71-80,81-90\). Frequencies: \(68,184,294,402,480,310,164,98\). Prepare a cumulative frequency table and draw the cumulative frequency curve.",,"Add the frequencies successively. The cumulative frequencies are \(68,252,546,948,1428,1738,1902,2000\). For the ogive, plot cumulative frequency against the upper class boundaries \(20.5,30.5,40.5,50.5,60.5,70.5,80.5,90.5\), starting at \((10.5,0)\), then join the points smoothly.",,FRQ,false
